pc,delta
94685453736749,1735402616
94685453736968,-899506144
94685453737057,657714400
94685453736968,-871233552
94685453736968,503163216
94685453736996,-794274768
94685453736968,2178632592
94685453736968,-802079712
94685453736968,119178192
94685453736968,-1173401488
94685453737057,3495690400
94685453736968,-2660405152
94685453737057,278854080
94685453737057,850259776
94685453736968,-653484544
94685453737057,891701200
94685453736968,299277952
94685453736974,-750400240
94685453736968,-731824608
94685453736968,-1269616080
94685453736968,1291502976
94685453736968,972057024
94685453736996,-2109672576
94685453736968,1079931728
94685453737057,-1522149928
94685453736749,118349800
94685453737057,1791185680
94685453736968,723177984
94685453736968,-2059538832
94685453736968,1913415888
94685453736968,-368565904
94685453737057,1443812752
94685453736968,-3607518360
94685453736749,1563697320
94685453736968,69335616
94685453736996,-1484082864
94685453736968,1252368048
94685453736968,1248451248
94685453736968,-1507299936
94685453736968,-90846384
94685453736968,-33730024524
94685453736924,34861241196
94685453736968,-628884816
94685453736996,1604551872
94685453736968,-102519000
94685453737041,-216598680
94685453736968,-2314103392
94685453737057,1786695472
94685453736968,1079768544
94685453736968,661320576
94685453736968,-511140000
94685453736968,-2086804336
94685453737057,1591931648
94685453736974,-32024224
94685453736968,511140512
94685453737057,-3563901208
94685453736749,2183934488
94685453736968,-1817723256
94685453736988,2796632664
94685453736968,399705552
94685453736968,-1053154560
94685453736968,1248656352
94685453736968,-2154381504
94685453736968,1840355920
94685453736974,-62970736
94685453736968,-1958456880
94685453736968,2321924784
94685453736968,-1633439664
94685453736968,-1857720720
94685453736968,2478727440
94685453736968,-2168028000
94685453736968,245617552
94685453737011,-262553632
94685453736968,628693200
94685453736968,84925472
94685453737057,-258323520
94685453737057,3118764880
94685453736968,30528120
94685453736988,-1177975896
94685453736968,-2255478048
94685453736968,858924000
94685453736968,-334458000
94685453736968,2278449824
94685453737057,384097600
94685453736968,-1651849632
94685453736968,76719792
94685453736968,-643393936
94685453737057,817167040
94685453736968,-2824812472
94685453736749,759176584
94685453736968,175088064
94685453736968,-954676736
94685453736749,2827749248
94685453736968,-2058139080
94685453736988,372273960
94685453736968,951640896
94685453736996,-1818885216
94685453736749,1912610832
94685453736996,-72084848
94685453737011,2286724608
94685453737011,-873832816
94685453736968,-2472814992
94685453736968,-1063518080
94685453736749,196514960
94685453736749,1956733768
94685453737084,-885333304
94685453736968,2905217232
94685453736968,-2142810672
94685453736968,-1724536448
94685453736749,1078150448
94685453736996,1392636456
94685453736988,-2620149696
94685453736749,402852600
94685453736968,2918466192
94685453736968,-1255076064
94685453736968,449921632
94685453736974,-1647974704
94685453736968,-181145040
94685453736968,2297358328
94685453737084,431224520
94685453736968,170135088
94685453736968,-2661453120
94685453736968,2969044752
94685453736968,-3280399312
94685453737057,2396964400
94685453736968,-1970639520
94685453736968,-862021272
94685453736749,188559480
94685453736968,274681224
94685453737041,-761867624
94685453736749,699662624
94685453736968,-90431967556
94685453736924,93097344724
94685453736968,444281952
94685453736968,-564400800
94685453736968,-2490308880
94685453736968,1054004592
94685453736968,1538950752
94685453736968,-2475567440
94685453737011,2300304384
94685453737011,-2649288256
94685453736996,753313824
94685453736968,2194257408
94685453736968,-1692718848
94685453736968,1022491732232
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,-176
94685453736640,176
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-8
94685453738901,8
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,40
94685453739289,-296
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-8
94685453738901,48
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-216
94685453736660,216
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-1022535091640
94685453736968,1381966896
94685453736968,-1276151056
94685453737057,158350720
94685453736968,-808939264
94685453737057,3200210120
94685453737084,-2968221352
94685453736968,1911476544
94685453736996,-745819680
94685453736968,-291786096
94685453736968,2197863728
94685453737057,-3014198192
94685453736968,509477520
94685453736968,1808984064
94685453736996,-3188143968
94685453736968,1129910344
94685453737084,-770442160
94685453737041,-30196560
94685453736988,3127123032
94685453736996,-3727817232
94685453736749,1963220928
94685453736996,-1560924576
94685453736968,-45092883384
94685453736924,47001095256
94685453736968,-392727552
94685453736968,1030134320
94685453737057,-551410736
94685453736968,1789184824
94685453737084,-3632495272
94685453736968,-121387178532
94685453736924,123301012804
94685453736974,-1244304256
94685453736968,35240064
94685453736968,42207408
94685453736968,-39936864
94685453736968,-524890464
94685453736968,901372848
94685453736968,2053930592
94685453737057,-2700562144
94685453737011,2701102416
94685453737011,-1710191344
94685453736968,-773549824
94685453737057,1434458464
94685453736996,-144510104
94685453737084,-2421073584
94685453736749,-186119160
94685453736749,1326963872
94685453736968,-779252736
94685453736968,-666612368
94685453736749,667133072
94685453736968,-37061136
94685453736968,3761648304
94685453736996,-2681214720
94685453736996,-1313555120
94685453737011,2969221856
94685453736968,-323901936
94685453736968,-1508124960
94685453736968,-1137228432
94685453736968,3938852832
